
Nome                                   id 
Faculdade Senai de Construção          1
Senai Maracaju                         2 
Senai Aparecida do Taboado             3   
FATEC Senai Três Lagoas                4 
Agência Senai Sonora                   5 
CETEC Senai Rio Verde de Mato Grosso   6
Senai Nova Andradina                   7
CETEC Senai Naviraí                    8
FATEC Senai Dourados                   9 
FATEC Senai Corumbá                    10
Agência Senai Sidrolândia              11
FATEC Senai Campo Grande               12
Departamento Regional                  13
Convidados                             14
